continent,region,country,population
AFRICA,NORTHERN AFRICA,Algeria,44.9
AFRICA,NORTHERN AFRICA,Egypt,103.5
AFRICA,NORTHERN AFRICA,Libya,6.8
AFRICA,NORTHERN AFRICA,Morocco,36.7
AFRICA,NORTHERN AFRICA,Sudan,46.9
AFRICA,NORTHERN AFRICA,Tunisia,11.8
AFRICA,NORTHERN AFRICA,Western Sahara,0.6
AFRICA,WESTERN AFRICA,Benin,13.4
AFRICA,WESTERN AFRICA,Burkina Faso,22.7
AFRICA,WESTERN AFRICA,Cape Verde,0.6
AFRICA,WESTERN AFRICA,Cote d'Ivoire,28.2
AFRICA,WESTERN AFRICA,Gambia,2.7
AFRICA,WESTERN AFRICA,Ghana,33.5
AFRICA,WESTERN AFRICA,Guinea,13.9
AFRICA,WESTERN AFRICA,Guinea-Bissau,2.1
AFRICA,WESTERN AFRICA,Liberia,5.3
AFRICA,WESTERN AFRICA,Mali,22.6
AFRICA,WESTERN AFRICA,Mauritania,4.7
AFRICA,WESTERN AFRICA,Niger,26.2
AFRICA,WESTERN AFRICA,Nigeria,218.5
AFRICA,WESTERN AFRICA,Senegal,17.9
AFRICA,WESTERN AFRICA,Sierra Leone,8.7
AFRICA,WESTERN AFRICA,Togo,8.8
AFRICA,EAST AFRICA,Burundi,12.9
AFRICA,EAST AFRICA,Comoros,0.8
AFRICA,EAST AFRICA,Djibouti,1.1
AFRICA,EAST AFRICA,Eritrea,3.7
AFRICA,EAST AFRICA,Ethiopia,123.4
AFRICA,EAST AFRICA,Kenya,54
AFRICA,EAST AFRICA,Madagascar,29.6
AFRICA,EAST AFRICA,Malawi,20.4
AFRICA,EAST AFRICA,Mauritius,1.3
AFRICA,EAST AFRICA,Mayotte,0.3
AFRICA,EAST AFRICA,Mozambique,33
AFRICA,EAST AFRICA,Reunion,0.9
AFRICA,EAST AFRICA,Rwanda,13.8
AFRICA,EAST AFRICA,Seychelles,0.1
AFRICA,EAST AFRICA,Somalia,17.6
AFRICA,EAST AFRICA,South Sudan,10.9
AFRICA,EAST AFRICA,Tanzania,65.5
AFRICA,EAST AFRICA,Uganda,47.2
AFRICA,EAST AFRICA,Zambia,20
AFRICA,EAST AFRICA,Zimbabwe,16.3
AFRICA,MIDDLE AFRICA,Angola,35.6
AFRICA,MIDDLE AFRICA,Cameroon,27.9
AFRICA,MIDDLE AFRICA,Central African Republic,5.6
AFRICA,MIDDLE AFRICA,Chad,17.7
AFRICA,MIDDLE AFRICA,Congo,6
AFRICA,MIDDLE AFRICA,"Congo, Dem. Rep.",99
AFRICA,MIDDLE AFRICA,Equatorial Guinea,1.7
AFRICA,MIDDLE AFRICA,Gabon,2.4
AFRICA,MIDDLE AFRICA,Sao Tome and Principe,0.2
AFRICA,SOUTHERN AFRICA,Botswana,2.6
AFRICA,SOUTHERN AFRICA,eSwatini,1.2
AFRICA,SOUTHERN AFRICA,Lesotho,2.3
AFRICA,SOUTHERN AFRICA,Namibia,2.6
AFRICA,SOUTHERN AFRICA,South Africa,60.6
NORTHERN AMERICA,NORTHERN AMERICA,Canada,38.8
NORTHERN AMERICA,NORTHERN AMERICA,United States,332.8
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Belize,0.4
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Costa Rica,5.2
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,El Salvador,6.3
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Guatemala,17.8
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Honduras,9.6
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Mexico,127.5
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Nicaragua,6.7
LATIN AMERICA AND THE CARIBBEAN,CENTRAL AMERICA,Panama,4.4
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Antigua and Barbuda,0.1
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Bahamas,0.4
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Barbados,0.3
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Cuba,11.1
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Curacao,0.1
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Dominica,0.1
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Dominican Republic,11.2
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Grenada,0.1
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Guadeloupe,0.4
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Haiti,11.6
LATIN AMERICA AND THE CARIBBEAN,CARIBBEAN,Jamaica,2.8
