	continent	region	country	population
0	AFRICA	NORTHERN AFRICA	Algeria	44.9
1	AFRICA	NORTHERN AFRICA	Egypt	103.5
2	AFRICA	NORTHERN AFRICA	Libya	6.8
3	AFRICA	NORTHERN AFRICA	Morocco	36.7
6	AFRICA	NORTHERN AFRICA	Western Sahara	0.6
7	AFRICA	WESTERN AFRICA	Benin	13.4
8	AFRICA	WESTERN AFRICA	Burkina Faso	22.7
9	AFRICA	WESTERN AFRICA	Cape Verde	0.6
10	AFRICA	WESTERN AFRICA	Cote d'Ivoire	28.2
11	AFRICA	WESTERN AFRICA	Gambia	2.7
12	AFRICA	WESTERN AFRICA	Ghana	33.5
13	AFRICA	WESTERN AFRICA	Guinea	13.9
14	AFRICA	WESTERN AFRICA	Guinea-Bissau	2.1
15	AFRICA	WESTERN AFRICA	Liberia	5.3
16	AFRICA	WESTERN AFRICA	Mali	22.6
17	AFRICA	WESTERN AFRICA	Mauritania	4.7
18	AFRICA	WESTERN AFRICA	Niger	26.2
19	AFRICA	WESTERN AFRICA	Nigeria	218.5
20	AFRICA	WESTERN AFRICA	Senegal	17.9
21	AFRICA	WESTERN AFRICA	Sierra Leone	8.7
23	AFRICA	EAST AFRICA	Burundi	12.9
24	AFRICA	EAST AFRICA	Comoros	0.8
25	AFRICA	EAST AFRICA	Djibouti	1.1
26	AFRICA	EAST AFRICA	Eritrea	3.7
27	AFRICA	EAST AFRICA	Ethiopia	123.4
28	AFRICA	EAST AFRICA	Kenya	54.0
29	AFRICA	EAST AFRICA	Madagascar	29.6
30	AFRICA	EAST AFRICA	Malawi	20.4
31	AFRICA	EAST AFRICA	Mauritius	1.3
32	AFRICA	EAST AFRICA	Mayotte	0.3
33	AFRICA	EAST AFRICA	Mozambique	33.0
34	AFRICA	EAST AFRICA	Reunion	0.9
35	AFRICA	EAST AFRICA	Rwanda	13.8
36	AFRICA	EAST AFRICA	Seychelles	0.1
43	AFRICA	MIDDLE AFRICA	Angola	35.6
44	AFRICA	MIDDLE AFRICA	Cameroon	27.9
45	AFRICA	MIDDLE AFRICA	Central African Republic	5.6
46	AFRICA	MIDDLE AFRICA	Chad	17.7
47	AFRICA	MIDDLE AFRICA	Congo	6.0
48	AFRICA	MIDDLE AFRICA	Congo, Dem. Rep.	99.0
49	AFRICA	MIDDLE AFRICA	Equatorial Guinea	1.7
50	AFRICA	MIDDLE AFRICA	Gabon	2.4
51	AFRICA	MIDDLE AFRICA	Sao Tome and Principe	0.2
52	AFRICA	SOUTHERN AFRICA	Botswana	2.6
53	AFRICA	SOUTHERN AFRICA	eSwatini	1.2
54	AFRICA	SOUTHERN AFRICA	Lesotho	2.3
55	AFRICA	SOUTHERN AFRICA	Namibia	2.6
57	NORTHERN AMERICA	NORTHERN AMERICA	Canada	38.8
58	NORTHERN AMERICA	NORTHERN AMERICA	United States	332.8
59	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Belize	0.4
60	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Costa Rica	5.2
62	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Guatemala	17.8
63	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Honduras	9.6
64	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Mexico	127.5
65	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Nicaragua	6.7
66	LATIN AMERICA AND THE CARIBBEAN	CENTRAL AMERICA	Panama	4.4
67	LATIN AMERICA AND THE CARIBBEAN	CARIBBEAN	Antigua and Barbuda	0.1
