article_title,revision_Id,article_quality,country,region,population
Suleiman Mohamoud Adan,1100648418,Stub,Somalia,EAST AFRICA,17.6
Zamzam Abdi Adan,1104180941,Stub,Somalia,EAST AFRICA,17.6
Ahmed Aw Dahir,1062918876,Start,Somalia,EAST AFRICA,17.6
Mohammed Ahmed Alin,1067230288,Stub,Somalia,EAST AFRICA,17.6
Mohamed Nour Arrale,1010517655,Stub,Somalia,EAST AFRICA,17.6
Abdirizak Ibrahim Mohamed Attash,1106387976,Stub,Somalia,EAST AFRICA,17.6
Abdirahman Aw Ali Farrah,1090813639,Start,Somalia,EAST AFRICA,17.6
Abdirahman Aw Ali Farrah,1090813639,Start,Somalia,EAST AFRICA,17.6
Bashe Awil Omar,1080305059,Stub,Somalia,EAST AFRICA,17.6
Buurmadow,1060454282,Start,Somalia,EAST AFRICA,17.6
Mohamed Abdi Dhinbil,1105389938,Stub,Somalia,EAST AFRICA,17.6
Hussein Ali Duale,1061678975,Start,Somalia,EAST AFRICA,17.6
Hussein Abdi Dualeh,1046373247,Start,Somalia,EAST AFRICA,17.6
Bashe Mohamed Farah,1100193203,Stub,Somalia,EAST AFRICA,17.6
Khadra Haji Ismail Geid,1110909858,Stub,Somalia,EAST AFRICA,17.6
Dayib Gurey,1105996972,Stub,Somalia,EAST AFRICA,17.6
Suleiman Hassan Haddi,1080321751,Stub,Somalia,EAST AFRICA,17.6
Suleiman Haglotosiye,1113248839,Start,Somalia,EAST AFRICA,17.6
Hassan Ismail Yusuf,1095741540,Start,Somalia,EAST AFRICA,17.6
Abdiaziz Hussein Hassan,1050666572,Stub,Somalia,EAST AFRICA,17.6
Hussein Mohamed Mohamoud,1025215950,Stub,Somalia,EAST AFRICA,17.6
Ibrahim Megag Samatar,1100656361,Start,Somalia,EAST AFRICA,17.6
Ibrahim Megag Samatar,1100656361,Start,Somalia,EAST AFRICA,17.6
Hassan Isse Jama,1082326113,Start,Somalia,EAST AFRICA,17.6
